City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,gaoua,10.3,-3.25,90.75,6,100,7.4,BF,1581532056
1,bastrop,32.76,-91.87,64.0,93,90,5.82,US,1581531952
2,roma,43.21,-75.46,37.99,59,1,5.82,US,1581531894
3,nata,8.33,-80.52,93.2,44,27,17.22,PA,1581532063
4,cape town,-33.93,18.42,72.0,93,75,16.11,ZA,1581532065
5,rikitea,-23.12,-134.97,78.3,80,36,21.27,PF,1581532067
6,ushuaia,-54.8,-68.3,57.2,50,40,21.92,AR,1581531902
7,kruisfontein,-34.0,24.73,71.11,82,0,10.29,ZA,1581532071
8,tezu,27.92,96.17,59.47,55,100,3.53,IN,1581532073
9,mataura,-46.19,168.86,57.99,95,100,13.0,NZ,1581532075
10,provideniya,64.38,-173.3,1.42,93,52,3.13,RU,1581531817
11,namibe,-15.2,12.15,74.95,90,61,15.5,AO,1581532079
12,sakaiminato,35.55,133.23,50.0,100,75,1.12,JP,1581532081
13,ponta do sol,32.67,-17.1,64.4,72,20,3.36,PT,1581532083
14,bethel,41.37,-73.41,46.0,41,1,4.7,US,1581532085
15,qaanaaq,77.48,-69.36,-16.06,54,0,4.83,GL,1581531815
16,hami,42.8,93.45,17.89,37,31,12.06,CN,1581532089
17,takoradi,4.88,-1.76,83.34,70,55,8.43,GH,1581532091
18,mount isa,-20.73,139.5,68.0,68,0,4.7,AU,1581532093
19,busselton,-33.65,115.33,72.0,47,65,8.37,AU,1581531905
20,carnarvon,-24.87,113.63,75.2,83,40,10.29,AU,1581531825
21,buraydah,26.33,43.98,50.0,39,0,5.82,SA,1581532099
22,albany,42.6,-73.97,41.0,51,75,6.93,US,1581531875
23,yellowknife,62.46,-114.35,-24.0,66,5,6.93,CA,1581532104
24,limulunga,-15.1,23.14,71.58,86,26,5.86,ZM,1581532106
25,punta arenas,-53.15,-70.92,57.2,63,41,20.8,CL,1581531874
26,castro,-24.79,-50.01,75.63,51,33,2.8,BR,1581532110
27,georgetown,5.41,100.34,82.4,94,20,3.36,MY,1581531843
28,barrow,71.29,-156.79,-23.8,74,90,5.82,US,1581532114
29,hilo,19.73,-155.09,68.0,88,75,5.82,US,1581532116
30,vaini,-21.2,-175.2,75.2,88,75,9.17,TO,1581532118
31,camacha,33.08,-16.33,64.4,72,20,4.7,PT,1581532120
32,butaritari,3.07,172.79,82.09,84,100,17.92,KI,1581532122
33,touros,-5.2,-35.46,87.8,58,40,17.22,BR,1581532124
34,kudahuvadhoo,2.67,72.89,82.69,78,67,15.37,MV,1581532126
35,gravelbourg,49.88,-106.55,-13.0,86,16,2.13,CA,1581532128
36,chuy,-33.7,-53.46,78.26,50,11,14.88,UY,1581532130
37,ngunguru,-35.62,174.5,57.99,96,0,7.0,NZ,1581532132
38,bluff,-46.6,168.33,57.99,95,95,13.0,NZ,1581532134
39,port alfred,-33.59,26.89,69.01,85,0,5.99,ZA,1581531879
40,talnakh,69.49,88.4,8.6,84,75,29.08,RU,1581532138
41,karaman,37.08,33.25,32.32,97,100,9.66,TR,1581532140
42,turinskaya sloboda,57.62,64.39,16.38,95,100,5.93,RU,1581532142
43,tulun,54.56,100.58,2.91,94,98,2.93,RU,1581532144
